N¼ contribuyente,Fecha de pago,Distrito del inmueble,A–o transferencia del inmueble,Mes transferencia  del inmueble,Cantidad pagos,Impuesto pagado (S/),Intereses pagados (S/),Total pagado (S/),,,
"158026,28/01/2019,LURIGANCHO,2018,12,1,""1,275.00"",0.00,""1,275.00"",,,"
"165710,23/01/2019,LA VICTORIA,2017,10,1,""2,662.95"",451.21,""3,114.16"",,,"
"167098,25/01/2019,BARRANCO,2018,12,1,""9,702.96"",0.00,""9,702.96"",,,"
"169878,17/01/2019,SAN ISIDRO,2019,1,1,""29,301.00"",0.00,""29,301.00"",,,"
"172034,08/01/2019,SANTIAGO DE SURCO,2018,11,2,""54,508.50"",174.43,""54,682.93"",,,"
"173044,30/01/2019,BARRANCO,2019,1,1,""49,869.25"",0.00,""49,869.25"",,,"
"173325,31/01/2019,LA MOLINA,2019,1,2,""29,592.00"",0.00,""29,592.00"",,,"
"175783,15/01/2019,SANTIAGO DE SURCO,2019,1,3,""57,637.60"",0.00,""57,637.60"",,,"
"181067,29/01/2019,CHORRILLOS,2018,12,1,""74,580.00"",0.00,""74,580.00"",,,"
"181217,10/01/2019,SAN ISIDRO,2018,12,1,""7,226.25"",0.00,""7,226.25"",,,"
184640,03/01/2019,SAN JUAN DE MIRAFLORES,2018,12,1,536.91,0.00,536.91,,,
"192415,04/01/2019,SAN ISIDRO,2018,10,1,""4,461.87"",62.47,""4,524.34"",,,"
"196922,29/01/2019,VILLA MARIA DEL TRIUNFO,2019,1,1,""11,820.60"",0.00,""11,820.60"",,,"
198327,22/01/2019,COMAS,2019,1,1,30.75,0.00,30.75,,,
"198938,09/01/2019,PUEBLO LIBRE,2018,12,1,""10,988.10"",0.00,""10,988.10"",,,"
"203497,14/01/2019,COMAS,2018,12,1,""39,195.00"",0.00,""39,195.00"",,,"
"215447,30/01/2019,MAGDALENA DEL MAR,2019,1,1,""6,705.60"",0.00,""6,705.60"",,,"
"217014,08/01/2019,CHORRILLOS,2018,12,1,""212,827.50"",0.00,""212,827.50"",,,"
"220545,04/01/2019,LA MOLINA,2018,12,1,""28,632.60"",0.00,""28,632.60"",,,"
"220545,04/01/2019,LIMA,2018,12,1,""53,952.60"",0.00,""53,952.60"",,,"
"220545,30/01/2019,SANTIAGO DE SURCO,2019,1,1,""16,803.00"",0.00,""16,803.00"",,,"
"222773,31/01/2019,LIMA,2019,1,3,""26,460.00"",0.00,""26,460.00"",,,"
"224650,09/01/2019,LOS OLIVOS,2018,12,2,""5,453.66"",0.00,""5,453.66"",,,"
"224650,30/01/2019,ATE,2018,12,1,""4,091.34"",0.00,""4,091.34"",,,"
"224650,30/01/2019,LA VICTORIA,2018,12,1,""4,909.20"",0.00,""4,909.20"",,,"
"224650,30/01/2019,LOS OLIVOS,2018,12,1,""1,330.90"",0.00,""1,330.90"",,,"
"231891,09/01/2019,LA VICTORIA,2018,12,1,""8,998.86"",0.00,""8,998.86"",,,"
234368,03/01/2019,MIRAFLORES,2018,4,1,367.92,31.93,399.85,,,
"235602,28/01/2019,MIRAFLORES,2018,12,2,""19,851.00"",0.00,""19,851.00"",,,"
"235904,07/01/2019,LA MOLINA,2018,12,1,""10,412.55"",0.00,""10,412.55"",,,"
"236973,04/01/2019,LA MOLINA,2018,12,1,""34,658.82"",0.00,""34,658.82"",,,"
"244243,15/01/2019,LOS OLIVOS,2018,12,2,""8,865.00"",0.00,""8,865.00"",,,"
"244419,21/01/2019,SURQUILLO,2018,12,1,""11,355.00"",0.00,""11,355.00"",,,"
"245362,31/01/2019,SAN ISIDRO,2018,11,1,""40,895.55"",507.10,""41,402.65"",,,"
"247599,15/01/2019,LA VICTORIA,2017,4,1,""1,635.00"",388.48,""2,023.48"",,,"
"248209,02/01/2019,SANTIAGO DE SURCO,2017,5,1,""22,226.54"",""4,898.73"",""27,125.27"",,,"
"251720,10/01/2019,SAN BORJA,2018,12,1,""7,878.30"",0.00,""7,878.30"",,,"
"255336,25/01/2019,SANTIAGO DE SURCO,2018,12,2,""31,649.40"",0.00,""31,649.40"",,,"
"258491,25/01/2019,SAN JUAN DE MIRAFLORES,2019,1,1,""15,503.46"",0.00,""15,503.46"",,,"
"259567,24/01/2019,JESUS MARIA,2019,1,1,""5,662.93"",0.00,""5,662.93"",,,"
"261237,10/01/2019,SANTA ROSA,2015,8,1,900.71,431.62,""1,332.33"",,,"
"261237,10/01/2019,SANTA ROSA,2015,9,1,856.23,400.03,""1,256.26"",,,"
"264999,09/01/2019,SANTIAGO DE SURCO,2018,12,1,""10,919.40"",0.00,""10,919.40"",,,"
"272124,10/01/2019,SANTIAGO DE SURCO,2018,12,4,""25,403.25"",0.00,""25,403.25"",,,"
273661,08/01/2019,VILLA MARIA DEL TRIUNFO,2018,12,1,981.00,0.00,981.00,,,
"274661,23/01/2019,SANTIAGO DE SURCO,2019,1,1,""17,438.13"",0.00,""17,438.13"",,,"
"278612,10/01/2019,MIRAFLORES,2018,12,1,""56,636.52"",0.00,""56,636.52"",,,"
"278874,21/01/2019,SAN JUAN DE MIRAFLORES,2018,12,1,""13,816.50"",0.00,""13,816.50"",,,"
"283101,24/01/2019,SAN BORJA,2019,1,1,""20,737.80"",0.00,""20,737.80"",,,"
"285500,23/01/2019,SAN BORJA,2019,1,2,""10,467.00"",0.00,""10,467.00"",,,"
"286053,17/01/2019,RIMAC,2018,12,1,""2,607.06"",0.00,""2,607.06"",,,"
"286803,31/01/2019,MIRAFLORES,2019,1,1,""23,701.20"",0.00,""23,701.20"",,,"
290333,11/01/2019,MIRAFLORES,2019,1,1,455.91,0.00,455.91,,,
291861,12/01/2019,PACHACAMAC,2016,12,1,746.42,212.28,958.70,,,
"293252,18/01/2019,MIRAFLORES,2018,12,1,""22,982.43"",0.00,""22,982.43"",,,"
"294671,09/01/2019,SAN MIGUEL,2018,12,1,""1,797.11"",0.00,""1,797.11"",,,"
297305,14/01/2019,PUEBLO LIBRE,2018,12,1,206.00,0.00,206.00,,,
"299771,24/01/2019,SANTIAGO DE SURCO,2018,12,2,""11,918.22"",0.00,""11,918.22"",,,"
"301947,24/01/2019,COMAS,2019,1,1,""3,747.00"",0.00,""3,747.00"",,,"
302656,17/01/2019,LA VICTORIA,2017,3,1,217.89,54.82,272.71,,,
"304567,18/01/2019,LINCE,2018,12,1,""5,109.94"",0.00,""5,109.94"",,,"
"305158,31/01/2019,CARABAYLLO,2014,12,1,""2,425.29"",""1,430.43"",""3,855.72"",,,"
305341,18/01/2019,LIMA,2019,1,1,879.93,0.00,879.93,,,
"305421,24/01/2019,SURQUILLO,2018,12,13,""124,279.09"",0.00,""124,279.09"",,,"
"310423,11/01/2019,LINCE,2018,12,1,""2,299.80"",0.00,""2,299.80"",,,"
310565,21/01/2019,LURIGANCHO,2018,12,1,782.40,0.00,782.40,,,
"316646,30/01/2019,LURIGANCHO,2018,12,1,""2,866.55"",0.00,""2,866.55"",,,"
"319202,17/01/2019,LURIN,2019,1,2,""117,468.00"",0.00,""117,468.00"",,,"
"321639,25/01/2019,SURQUILLO,2018,6,2,""15,452.40"",""1,100.21"",""16,552.61"",,,"
"321839,14/01/2019,PUNTA NEGRA,2018,12,1,""3,506.70"",0.00,""3,506.70"",,,"
323202,07/01/2019,LIMA,2019,1,1,240.00,0.00,240.00,,,
324548,10/01/2019,ATE,2018,12,1,855.00,0.00,855.00,,,
"326174,21/01/2019,BRE„A,2018,12,1,""4,499.76"",0.00,""4,499.76"",,,"
"326294,04/01/2019,BRE„A,2018,12,1,""21,195.00"",0.00,""21,195.00"",,,"
"327452,25/01/2019,SANTIAGO DE SURCO,2019,1,1,""1,620.00"",0.00,""1,620.00"",,,"
"327554,15/01/2019,LURIN,2018,12,1,""6,355.05"",0.00,""6,355.05"",,,"
"330085,25/01/2019,LIMA,2019,1,1,""8,118.00"",0.00,""8,118.00"",,,"
"357134,03/01/2019,PUENTE PIEDRA,2018,12,1,""5,579.61"",0.00,""5,579.61"",,,"
"358314,04/01/2019,SANTIAGO DE SURCO,2018,12,1,""17,498.22"",0.00,""17,498.22"",,,"
"359566,24/01/2019,LA MOLINA,2019,1,1,""93,873.00"",0.00,""93,873.00"",,,"
"368202,10/01/2019,SAN ISIDRO,2018,12,1,""2,805.00"",0.00,""2,805.00"",,,"
"368900,10/01/2019,LOS OLIVOS,2018,12,2,""13,965.00"",0.00,""13,965.00"",,,"
369667,23/01/2019,MIRAFLORES,2018,12,3,440.51,0.00,440.51,,,
"371909,09/01/2019,PACHACAMAC,2018,12,1,""2,293.50"",0.00,""2,293.50"",,,"
"372564,02/01/2019,LIMA,2018,11,1,""36,261.90"",29.01,""36,290.91"",,,"
"374452,04/01/2019,SAN JUAN DE MIRAFLORES,2018,12,1,""5,073.75"",0.00,""5,073.75"",,,"
"375418,29/01/2019,JESUS MARIA,2018,12,3,""39,873.90"",0.00,""39,873.90"",,,"
"380586,28/01/2019,SAN MARTIN DE PORRES,2019,1,1,""1,743.30"",0.00,""1,743.30"",,,"
"384046,12/01/2019,LIMA,2018,9,1,""326,049.00"",""9,520.64"",""335,569.64"",,,"
"385008,03/01/2019,ATE,2018,12,1,""1,623.37"",0.00,""1,623.37"",,,"
"385103,22/01/2019,MIRAFLORES,2019,1,3,""12,314.40"",0.00,""12,314.40"",,,"
"386645,25/01/2019,SANTIAGO DE SURCO,2019,1,1,""8,878.38"",0.00,""8,878.38"",,,"
409163,05/01/2019,COMAS,2018,12,1,255.00,0.00,255.00,,,
"409452,11/01/2019,MIRAFLORES,2018,12,1,""2,601.74"",0.00,""2,601.74"",,,"
415427,22/01/2019,LA VICTORIA,2018,5,1,717.00,59.65,776.65,,,
"420278,30/01/2019,VILLA EL SALVADOR,2019,1,1,""4,833.41"",0.00,""4,833.41"",,,"
"439319,15/01/2019,SAN MIGUEL,2019,1,1,""4,158.34"",0.00,""4,158.34"",,,"
443718,11/01/2019,VILLA EL SALVADOR,2018,12,1,780.00,0.00,780.00,,,
"452265,03/01/2019,SAN ISIDRO,2018,12,1,""8,731.08"",0.00,""8,731.08"",,,"
"510803,02/01/2019,LIMA,2018,12,1,""7,348.50"",0.00,""7,348.50"",,,"
"516216,17/01/2019,LIMA,2019,1,1,""11,738.70"",0.00,""11,738.70"",,,"
"526146,28/01/2019,LA MOLINA,2011,4,1,570.00,638.18,""1,208.18"",,,"
"601678,23/01/2019,LA MOLINA,2019,1,1,""44,248.50"",0.00,""44,248.50"",,,"
603281,17/01/2019,BARRANCO,2018,12,1,326.27,0.00,326.27,,,
"605055,11/01/2019,SANTIAGO DE SURCO,2018,12,1,""4,325.40"",0.00,""4,325.40"",,,"
"606294,25/01/2019,SANTIAGO DE SURCO,2019,1,1,""4,620.00"",0.00,""4,620.00"",,,"
620847,09/01/2019,CIENEGUILLA,2018,12,1,633.75,0.00,633.75,,,
"625668,21/01/2019,CARABAYLLO,2012,12,1,""1,637.38"",""1,428.45"",""3,065.83"",,,"
"628359,31/01/2019,SANTIAGO DE SURCO,2019,1,1,""15,373.20"",0.00,""15,373.20"",,,"
"630729,21/01/2019,MIRAFLORES,2018,12,1,""4,126.28"",0.00,""4,126.28"",,,"
"635476,31/01/2019,MAGDALENA DEL MAR,2019,1,1,""11,824.50"",0.00,""11,824.50"",,,"
"638012,12/01/2019,SANTIAGO DE SURCO,2019,1,1,""8,769.00"",0.00,""8,769.00"",,,"
"640527,15/01/2019,MAGDALENA DEL MAR,2018,12,1,""9,702.96"",0.00,""9,702.96"",,,"
"641198,16/01/2019,SANTIAGO DE SURCO,2019,1,1,""1,890.00"",0.00,""1,890.00"",,,"
"642533,21/01/2019,CHORRILLOS,2018,11,2,""13,695.60"",115.04,""13,810.64"",,,"
642693,05/01/2019,SAN MIGUEL,2018,12,1,363.83,0.00,363.83,,,
"642975,14/01/2019,SURQUILLO,2018,12,6,""11,740.02"",0.00,""11,740.02"",,,"
"643034,18/01/2019,SAN ISIDRO,2018,12,1,""66,726.82"",0.00,""66,726.82"",,,"
"643514,30/01/2019,SANTIAGO DE SURCO,2018,12,1,""98,901.75"",0.00,""98,901.75"",,,"
"643740,04/01/2019,VILLA EL SALVADOR,2018,12,1,""26,834.55"",0.00,""26,834.55"",,,"
"647361,29/01/2019,CARABAYLLO,2019,1,1,""1,148.40"",0.00,""1,148.40"",,,"
"648610,09/01/2019,MIRAFLORES,2018,12,1,""23,857.50"",0.00,""23,857.50"",,,"
"649072,11/01/2019,JESUS MARIA,2019,1,1,""5,760.30"",0.00,""5,760.30"",,,"
"649201,05/01/2019,VILLA EL SALVADOR,2018,12,1,""39,267.00"",0.00,""39,267.00"",,,"
"651970,23/01/2019,SANTIAGO DE SURCO,2019,1,1,""29,130.00"",0.00,""29,130.00"",,,"
"653410,24/01/2019,SANTIAGO DE SURCO,2019,1,1,""1,590.00"",0.00,""1,590.00"",,,"
"656612,05/01/2019,SAN BORJA,2018,8,1,""17,001.60"",673.26,""17,674.86"",,,"
"657897,09/01/2019,MIRAFLORES,2018,12,1,""46,356.60"",0.00,""46,356.60"",,,"
660283,17/01/2019,MIRAFLORES,2019,1,1,339.84,0.00,339.84,,,
665070,31/01/2019,MAGDALENA DEL MAR,2019,1,1,809.45,0.00,809.45,,,
"665903,18/01/2019,SAN MARTIN DE PORRES,2019,1,1,""1,440.00"",0.00,""1,440.00"",,,"
"666449,22/01/2019,SANTIAGO DE SURCO,2019,1,1,""6,732.00"",0.00,""6,732.00"",,,"
670565,09/01/2019,COMAS,2018,12,1,624.03,0.00,624.03,,,
"670658,31/01/2019,SAN BORJA,2018,11,6,""42,216.02"",523.46,""42,739.48"",,,"
"672507,28/01/2019,SAN JUAN DE LURIGANCHO,2018,12,1,""8,779.07"",0.00,""8,779.07"",,,"
"675872,30/01/2019,BARRANCO,2019,1,2,""49,869.25"",0.00,""49,869.25"",,,"
"677667,05/01/2019,MIRAFLORES,2019,1,2,""13,608.00"",0.00,""13,608.00"",,,"
"679557,11/01/2019,LA MOLINA,2018,12,5,""79,863.00"",0.00,""79,863.00"",,,"
